"kurskod","namn","kommentar","signatur","spec_benämning","api_url"
"L0005B","ArcGIS","50% Lp4 Ortsoberoende","45107-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q033gZ6y5Y355776Y76Y.json"
"L0005B","ArcGIS","50% Lp4 Ortsoberoende","45108-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q033gZ6y5Y355876Y76Y.json"
"F7007B","Arkitektonisk byggnadsprojektering","50% Lp2 Luleå 4+5","25841-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q083gZ6y5Y955676Y76Y.json"
"F7008B","Arkitektoniskt byggnadsprogram","50% Lp1 Luleå 2+4","15603-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q033gZ6y5Y855776Y76Y.json"
"F0018B","Arkitekturhistoria - En modern metropol och dess historia - en exkursion till Paris","25% Lp3-4 Luleå","35535-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q093gZ6y5Y355876Y76Y.json"
"F0019B","Arkitekturhistoria","25% Lp3-4 Luleå 3/1","35490-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q003gZ6y5Y355676Y76Y.json"
"F7018B","Arkitekturtypologier","25% Lp3-4 Luleå 3+5/3+5","35018-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q083gZ6y5Y355976Y76Y.json"
"F7014B","Arkitekturutveckling","25% Lp1-2 Luleå 3+4/3+4","15678-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q083gZ6y5Y955476Y76Y.json"
"H0053N","Arktis - Centrum eller periferi?","50% Lp2 Ortsoberoende","20022-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q093gZ6y5Y955476Y76Y.json"
"R0007E","Arktisk vinterskola","20% Lp3 Kiruna","37089-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q063gZ6y5Y355876Y76Y.json"
"H0057G","Arrangering och instrumentation 1","25% Lp1-2 Ortsoberoende","10336-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q043gZ6y5Y855776Y76Y.json"
"H0057G","Arrangering och instrumentation 1","25% Lp3-4 Ortsoberoende","30163-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q063gZ6y5Y355476Y76Y.json"
"H0058G","Arrangering och instrumentation 2","25% Lp3-4 Ortsoberoende","30164-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q083gZ6y5Y355676Y76Y.json"
"U7022G","Arrangering och musikproduktion","50% Lp1 Piteå","10893-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q023gZ6y5Y855876Y76Y.json"
"D0234G","Arrangering och musikproduktion","25% Lp1-2 Ortsoberoende","10911-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q073gZ6y5Y955676Y76Y.json"
"D0234G","Arrangering och musikproduktion","25% Lp3-4 Ortsoberoende","30103-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q073gZ6y5Y355276Y76Y.json"
"D7062E","Artificell intelligens och mönsterigenkänning","50% Lp1 Luleå 3+4","17041-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q083gZ6y5Y855676Y76Y.json"
"D7062E","Artificell intelligens och mönsterigenkänning","50% Lp1 Ortsoberoende","17269-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q083gZ6y5Y855576Y76Y.json"
"M7016H","Artificiell intelligens inom sjukvården","50% Lp1 Luleå","13986-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q023gZ6y5Y855376Y76Y.json"
"M7016H","Artificiell intelligens inom sjukvården","50% Lp4 Ortsoberoende","43002-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q023gZ6y5Y355676Y76Y.json"
"M7016H","Artificiell intelligens inom sjukvården","50% Lp4 Luleå","43539-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q023gZ6y5Y355576Y76Y.json"
"E7010N","Artificiell intelligens och affärsutveckling","50% Lp2 Luleå 2+5","20017-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y955876Y76Y.json"
"E7010N","Artificiell intelligens och affärsutveckling","50% Lp2 Ortsoberoende 2+5","20231-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y955776Y76Y.json"
"F0027T","Astrofysik och kosmologi","50% Lp2 Luleå 2+5","28861-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q003gZ6y5Y955176Y76Y.json"
"F7004R","Atmosfärfysik","50% Lp3 Kiruna","37753-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q033gZ6y5Y255676Y76Y.json"
